model,seed,sample,protein,spearman
mlp_64_32,0,A1TNSL,ITGAM,0.2319861000038397
mlp_64_32,0,A1TNSL,ITGAX,0.3962538371075294
mlp_64_32,0,A1TNSL,KRT5,0.7845919632669428
mlp_64_32,0,A1TNSL,MS4A1,0.4633725134192577
mlp_64_32,0,A1TNSL,PAX5,0.7961456756545826
mlp_64_32,0,A1TNSL,PCNA,0.34272096978740574
mlp_64_32,0,A1TNSL,PDCD1,-0.014266105290339769
mlp_64_32,0,A1TNSL,PECAM1,0.6824424723085573
mlp_64_32,0,A1TNSL,PTPRC_1,0.1816857500328905
mlp_64_32,0,A1TNSL,PTPRC_2,0.43697102799270104
mlp_64_32,0,A1TNSL,SDC1,0.1635684290903943
mlp_64_32,0,A1TNSL,VIM,0.6988757201275461
mlp_64_32,0,D1LN,ACTA2,0.4103986277925472
mlp_64_32,0,D1LN,BCL2,0.2817644718576966
mlp_64_32,0,D1LN,CCR7,0.3196731438784788
mlp_64_32,0,D1LN,CD14,0.14076987704870905
mlp_64_32,0,D1LN,CD163,0.2836362710196114
mlp_64_32,0,D1LN,CD19,0.41530465130922245
mlp_64_32,0,D1LN,CD27,0.113356618901049
mlp_64_32,0,D1LN,CD274,-0.020540219678342558
mlp_64_32,0,D1LN,CD3E,0.7272725600653498
mlp_64_32,0,D1LN,CD4,-0.09774601551644226
mlp_64_32,0,D1LN,CD40,0.0035809378528206376
mlp_64_32,0,D1LN,CD68,0.10555398250042343
mlp_64_32,0,D1LN,CD8A,0.529455701501382
mlp_64_32,0,D1LN,CEACAM8,0.23389085230404094
mlp_64_32,0,D1LN,CR2,-0.08624331438102732
mlp_64_32,0,D1LN,CXCR5,0.37180452726568874
mlp_64_32,0,D1LN,EPCAM,-0.21093040721645662
mlp_64_32,0,D1LN,FCGR3A,0.2924963920624463
mlp_64_32,0,D1LN,HLA_DRA,0.3941937293986734
mlp_64_32,0,D1LN,ITGAM,0.164460716144573
mlp_64_32,0,D1LN,ITGAX,0.3080803641538012
mlp_64_32,0,D1LN,KRT5,-0.04112276257220624
mlp_64_32,0,D1LN,MS4A1,0.22314558562325684
mlp_64_32,0,D1LN,PAX5,0.33288372752498935
mlp_64_32,0,D1LN,PCNA,-0.06594240387732705
mlp_64_32,0,D1LN,PDCD1,-0.35419554286002425
mlp_64_32,0,D1LN,PECAM1,0.18449559349118994
mlp_64_32,0,D1LN,PTPRC_1,0.22941593439322971
mlp_64_32,0,D1LN,PTPRC_2,0.46222875007556097
mlp_64_32,0,D1LN,SDC1,0.06261809662585532
mlp_64_32,0,D1LN,VIM,-0.14861166126258352
mlp_64_32,0,D1TNSL,ACTA2,0.7821227872799033
mlp_64_32,0,D1TNSL,BCL2,0.5386618890750415
mlp_64_32,0,D1TNSL,CCR7,0.4254024960227639
mlp_64_32,0,D1TNSL,CD14,0.30069026006174765
mlp_64_32,0,D1TNSL,CD163,0.3786662945833057
mlp_64_32,0,D1TNSL,CD19,0.24748015890175082
mlp_64_32,0,D1TNSL,CD27,0.29721303575263724
mlp_64_32,0,D1TNSL,CD274,0.3984775492040697
mlp_64_32,0,D1TNSL,CD3E,0.8528219878259193
mlp_64_32,0,D1TNSL,CD4,0.15514114173002094
mlp_64_32,0,D1TNSL,CD40,0.2608123957678348
mlp_64_32,0,D1TNSL,CD68,0.3705199690208905
mlp_64_32,0,D1TNSL,CD8A,0.7737521478352338
mlp_64_32,0,D1TNSL,CEACAM8,0.46686122985887146
mlp_64_32,0,D1TNSL,CR2,0.16755898265015065
mlp_64_32,0,D1TNSL,CXCR5,0.7250738737280447
